source_value,harmonised_value
Arab,Other
Arabic,Other
Egyptian,Other
Iranian,Other
Jewish,Other
Middle Eastern,Other
Middle eastern,Other
middle eastern,Other
North African,Other
Persian,Other
Persian/Middle Eastern,Other
Bengali,Asian
East Asian,Asian
Indian,Asian
Pakistani,Asian
pakistani,Asian
South Asian,Asian
south asian,Asian
South East Asian,Asian
Srilankan,Asian
Caribbean,Black
Jamaican,Black
African/Jamaican,Black
"African,European (mixed race)",Mixed
Biracial,Mixed
Biracial (african american - white),Mixed
Black North American and White European,Mixed
"Black, white, Asian",Mixed
European/Asian,Mixed
European/Egyptian,Mixed
Interracial (I.E Also Not Sure),Mixed
Métis,Mixed
Mix,Mixed
Mixed,Mixed
mixed,Mixed
Mixed - White and South American (Guyanese West Indian),Mixed
Mixed Asian and White/European,Mixed
Mixed Black/White,Mixed
Mixed Métis and white,Mixed
Mixed Race,Mixed
Mixed White and Asian,Mixed
White and black,Mixed
White and east indian,Mixed
White/Asian,Mixed
